species,customerid
Dog,34757
Dog,6457
Dog,34855
Dog,36283
Other,8405
Cat,2129
Cat,45841
Other,22629
Cat,29744
Dog,41945
Other,18517
Other,15594
Other,12829
Dog,45472
Cat,29326
Other,25290
Other,38298
Cat,48332
Cat,44177
Other,4479
Cat,25475
Dog,47609
Cat,49532
Other,13734
Cat,42455
Dog,40660
Dog,27348
Dog,17355
Cat,10032
Dog,33597
Dog,16746
Dog,32607
Dog,4317
Other,15414
Other,35933
Cat,8641
Dog,16668
Other,28512
Cat,47546
Other,46050
Dog,33601
Other,21578
Dog,28574
Dog,26754
Cat,2092
Dog,15178
Dog,35
Dog,23906
Other,20374
Other,47771
Other,13464
Cat,12739
Other,26032
Cat,44965
Other,36249
Cat,32601
Other,24594
Cat,38197
Dog,7355
Other,13199
Dog,19802
Other,882
Dog,21232
Other,35781
Dog,34220
Cat,36772
Other,49050
Other,13847
Cat,2294
Other,37597
Dog,10581
Dog,374
Other,18743
Cat,11944
Cat,29836
Other,13965
Dog,8876
Dog,33664
Other,3754
Dog,25708
Dog,17890
Dog,21800
Cat,23035
Dog,4404
Cat,9020
Cat,49499
Dog,43864
Other,34159
Dog,47926
Dog,32647
Cat,20584
Dog,47065
Other,28818
Other,30689
Other,47965
Other,36561
Dog,22518
Other,24078
Other,8250
Other,20830
Other,20368
Cat,12592
Cat,36124
Cat,192
Cat,8883
Cat,41314
Other,6549
Cat,18279
Dog,9358
Cat,3828
Dog,36261
Cat,4811
Cat,21606
Other,14360
Dog,47481
Cat,13044
Dog,17757
Other,28914
Dog,32613
Other,313
Cat,23635
Cat,19838
Cat,26085
Other,24548
Cat,36105
Cat,582
Dog,17917
Other,44327
Dog,28473
Other,8610
Cat,11257
Other,25208
Cat,39919
Cat,30479
Dog,18519
Dog,49129
Other,27298
Other,34642
Cat,31446
Other,9161
Dog,41842
Other,21629
Dog,45642
Other,28079
Other,23158
Cat,36280
Dog,5280
Dog,7074
Cat,17236
Other,3169
Dog,3878
Cat,12823
Cat,38554
Cat,9708
Other,33281
Other,39106
Other,9699
Dog,27769
Dog,6211
Other,8417
Cat,3660
Dog,23077
Other,7224
Cat,6383
Other,25689
Dog,32301
Cat,5232
Dog,9917
Dog,4958
Other,191
Dog,37714
Other,5176
Dog,6877
Other,9695
Cat,40626
Dog,956
Dog,29506
Dog,43004
Dog,48742
Cat,3537
Cat,30036
Cat,40693
Cat,27895
Cat,19376
Cat,28296
Cat,48485
Cat,11552
Dog,5010
Cat,27804
Cat,31564
Dog,18887
Cat,46773
Other,27728
Dog,36166
Cat,39408
Other,41003
Other,26232
Cat,45235
Cat,763
Cat,43589
