memberid,status,signupdate,milesflown,customerid
43567723,None,2024-02-11,5514,10871
43567724,None,2022-02-05,8013,5978
43567725,None,2023-04-27,5708,37720
43567726,None,2021-11-20,948,27727
43567727,None,2021-08-01,4637,20552
43567728,None,2021-12-23,2772,29032
43567729,Gold,2021-10-26,7515,40308
43567730,Silver,2023-09-25,9930,16075
43567731,Silver,2020-02-20,5312,37829
43567732,None,2023-11-02,7017,5566
43567733,Gold,2022-08-15,5605,37782
43567734,Silver,2023-02-13,5396,48283
43567735,Gold,2020-07-03,4134,11467
43567736,Gold,2021-01-09,6074,23578
43567737,None,2021-11-30,5221,6913
43567738,Gold,2023-10-12,6207,7014
43567739,Gold,2020-06-27,1770,12369
43567740,None,2023-04-16,2236,42819
43567741,None,2022-05-23,6057,8190
43567742,Gold,2021-12-31,994,19340
43567743,Gold,2022-05-09,1765,44060
43567744,Gold,2021-06-01,9389,44787
43567745,None,2024-04-26,6322,44736
43567746,Silver,2023-09-05,2356,26399
43567747,None,2021-12-16,7297,10030
43567748,None,2023-03-02,2241,48609
43567749,Silver,2021-02-11,9974,10228
43567750,None,2021-02-07,4672,14518
43567751,Gold,2023-01-15,7328,31632
43567752,None,2022-09-29,9305,40341
43567753,Silver,2023-06-07,943,11226
43567754,Gold,2023-03-25,5928,30411
43567755,Silver,2022-09-05,4707,30173
43567756,None,2020-05-14,9325,7481
43567757,Silver,2020-01-21,6809,31883
43567758,Gold,2022-08-19,7335,49135
43567759,None,2022-07-21,6046,12618
43567760,None,2021-07-20,9775,10692
43567761,Gold,2023-12-10,4138,6381
43567762,None,2023-05-22,8612,46825
43567763,Gold,2021-12-19,8025,40158
43567764,None,2021-09-13,4687,8648
43567765,None,2020-10-11,8364,39423
43567766,Silver,2022-04-01,9815,19881
43567767,Gold,2021-01-01,4128,42990
43567768,None,2022-12-10,116,32204
43567769,Silver,2023-10-13,7871,47271
43567770,None,2020-12-31,6982,28157
43567771,Gold,2021-02-01,267,44644
43567772,None,2020-05-14,9462,1219
43567773,Silver,2020-03-08,9659,20238
43567774,None,2020-08-12,2140,21143
43567775,Gold,2020-07-07,2789,26221
43567776,Silver,2020-11-28,9766,1256
43567777,None,2023-10-18,7997,7
43567778,None,2023-11-21,5996,14930
43567779,Gold,2020-06-24,9217,2923
43567780,Gold,2020-04-10,1657,32897
43567781,None,2022-10-11,309,9105
43567782,None,2020-08-06,1642,42413
43567783,Silver,2022-10-09,6862,44725
43567784,None,2023-12-25,6896,31224
43567785,Silver,2022-05-01,1005,25250
43567786,None,2021-03-01,6591,11679
43567787,None,2024-04-03,8060,25124
43567788,None,2023-12-17,8165,13258
43567789,Silver,2020-05-25,5322,38929
43567790,None,2022-03-18,6765,33020
43567791,Silver,2020-10-07,7563,38538
43567792,None,2023-09-21,3562,42161
43567793,Silver,2022-11-23,7925,31609
43567794,Silver,2020-08-07,8563,21118
43567795,Gold,2022-02-11,1944,17987
43567796,Gold,2020-09-13,1251,38300
43567797,Silver,2021-12-03,9217,1319
43567798,Silver,2021-09-27,8935,7567
43567799,Gold,2021-04-30,4734,9837
43567800,None,2022-08-11,2495,14252
43567801,Gold,2021-04-19,8990,6283
43567802,None,2020-12-20,237,30715
43567803,Gold,2024-05-09,1545,40775
43567804,Gold,2022-02-02,7166,27873
43567805,Silver,2021-12-12,46,28639
43567806,None,2020-04-07,1818,47036
43567807,None,2021-09-05,3758,15200
43567808,Gold,2024-01-09,4077,14928
43567809,None,2023-07-17,4477,35544
43567810,Gold,2021-07-02,9506,15251
43567811,None,2021-03-05,7740,13618
43567812,None,2024-03-04,1538,5097
43567813,Gold,2023-03-21,1430,36649
43567814,Silver,2020-01-22,7626,27972
43567815,Silver,2020-03-04,9599,27612
43567816,Silver,2021-05-14,2707,40076
43567817,Silver,2021-12-31,4780,32937
43567818,None,2020-11-19,3544,31558
43567819,None,2020-01-12,6870,21693
43567820,None,2021-03-21,2856,3404
43567821,None,2020-01-09,9985,37672
43567822,Silver,2020-12-12,2209,27164
43567823,Silver,2021-03-18,3496,37443
43567824,Gold,2021-06-13,6726,19782
43567825,Gold,2024-02-17,6665,5293
43567826,Silver,2021-10-30,640,3344
43567827,Silver,2023-11-05,1407,9181
43567828,Silver,2020-12-10,9307,48537
43567829,None,2021-02-14,3774,5809
43567830,Silver,2020-04-11,2302,254
43567831,Silver,2022-11-13,3496,26346
43567832,None,2022-12-27,9670,34900
43567833,Silver,2022-10-12,9969,21443
43567834,Gold,2022-11-21,3116,6065
43567835,Gold,2024-03-23,5239,15480
43567836,Silver,2022-12-05,7826,32103
43567837,Gold,2023-11-17,6616,28416
43567838,None,2023-12-28,762,14820
43567839,None,2022-06-08,7552,3438
43567840,Silver,2020-05-15,736,24529
43567841,Silver,2020-10-18,3600,18910
43567842,Gold,2020-10-19,6318,5101
43567843,Silver,2021-05-31,321,14749
43567844,None,2023-09-19,269,36896
43567845,Silver,2022-04-01,9767,44990
43567846,None,2020-11-21,4708,7357
43567847,None,2022-09-22,3845,49396
43567848,None,2023-11-12,1005,35786
43567849,Gold,2023-12-14,4858,17665
43567850,Silver,2023-05-08,6824,21903
43567851,None,2022-05-07,2277,42118
43567852,Silver,2020-11-27,4858,20450
43567853,Silver,2022-04-20,3519,24455
43567854,Gold,2021-10-01,8962,9573
43567855,Gold,2022-07-26,6887,20127
43567856,Silver,2021-01-09,8374,21317
43567857,None,2020-06-21,625,7640
43567858,Gold,2020-11-28,9196,18333
43567859,Silver,2021-12-26,3453,3825
43567860,Gold,2020-05-15,3388,9061
43567861,None,2023-11-05,4862,26128
43567862,None,2021-01-11,4632,9969
43567863,None,2022-05-09,7331,25878
43567864,Gold,2020-05-13,7043,26828
43567865,None,2023-11-16,6757,26241
43567866,Gold,2021-05-11,9285,16082
43567867,None,2022-06-06,7452,49677
43567868,Silver,2021-06-23,3238,8736
43567869,None,2022-01-03,1085,40260
43567870,Silver,2020-10-09,8377,27242
43567871,None,2022-12-31,3053,6953
43567872,None,2022-07-11,2393,23793
43567873,Silver,2022-04-12,4625,18883
43567874,None,2023-12-15,8981,37632
43567875,Silver,2023-09-29,6161,14696
43567876,None,2023-12-17,6286,25143
43567877,Silver,2023-06-29,3643,30676
43567878,Gold,2022-10-13,5476,41817
43567879,None,2022-05-19,2501,22646
43567880,None,2024-02-04,6451,24454
43567881,None,2021-12-21,1829,43390
43567882,Silver,2020-07-04,6508,11034
43567883,Gold,2023-11-22,5322,33285
43567884,Silver,2021-05-09,5578,1042
43567885,None,2020-05-19,3526,39169
43567886,Gold,2021-05-05,1969,18166
43567887,Gold,2023-08-23,4135,32445
43567888,None,2022-04-11,5921,8464
43567889,None,2022-08-29,9300,33581
43567890,Gold,2024-05-08,6777,14831
43567891,Gold,2023-05-20,9995,11614
43567892,Gold,2020-09-01,670,32862
43567893,None,2021-07-14,2502,46901
43567894,Gold,2020-10-14,6253,43654
43567895,None,2022-04-21,2079,39524
43567896,Gold,2020-11-08,5912,5750
43567897,Gold,2021-12-19,1618,29950
43567898,Gold,2020-10-28,9620,19494
43567899,None,2020-11-07,1764,23872
43567900,None,2020-09-30,620,25346
43567901,Silver,2021-04-12,3721,24877
43567902,Silver,2023-06-13,8590,27767
43567903,Silver,2020-01-31,8723,48683
